,revision_id,article_quality,article_name,country,Data
344,774684228,Start,Chwa I of Buganda,Uganda,"40,141,000"
345,774830237,Start,Kyabaggu of Buganda,Uganda,"40,141,000"
346,774831268,Start,Kiweewa of Buganda,Uganda,"40,141,000"
347,775522497,Stub,Ismael Orot,Uganda,"40,141,000"
348,775995921,Stub,James Obita,Uganda,"40,141,000"
349,776107670,Start,Janat Mukwaya,Uganda,"40,141,000"
350,776344991,Start,Besueri Kiwanuka Lusse Mulondo,Uganda,"40,141,000"
351,776491782,Start,Jeremiah Twa-Twa,Uganda,"40,141,000"
352,777643576,Stub,Joyce Kakuramatsi Kikafunda,Uganda,"40,141,000"
353,778265355,Stub,Kania Obiga,Uganda,"40,141,000"
354,778598971,Stub,Apollo Kironde,Uganda,"40,141,000"
355,778840186,Start,Kibirige Mayanja,Uganda,"40,141,000"
356,779007768,Start,Kintu Musoke,Uganda,"40,141,000"
357,779397351,Start,Jessica Alupo,Uganda,"40,141,000"
358,779397437,Start,Rebecca Amuge Otengo,Uganda,"40,141,000"
359,779397532,Start,Syda Bbumba,Uganda,"40,141,000"
360,781605803,Stub,Alintuma Nsambu,Uganda,"40,141,000"
361,781789704,Start,Esther Mbulakubuza Mbayo,Uganda,"40,141,000"
362,782460126,Stub,Abdul Nadduli,Uganda,"40,141,000"
363,782979760,Start,Moses Kizige,Uganda,"40,141,000"
364,783449036,Start,Maria Kiwanuka,Uganda,"40,141,000"
365,784734768,C,Elijah Mushemeza,Uganda,"40,141,000"
366,784768216,Start,Michael Lulume Bayigga,Uganda,"40,141,000"
367,785038536,Stub,Deo Rwabiita,Uganda,"40,141,000"
368,785108122,Stub,Daudi Ochieng,Uganda,"40,141,000"
369,785339072,Start,Joy Kabatsi,Uganda,"40,141,000"
370,785862055,C,Joshua Wanume Kibedi,Uganda,"40,141,000"
371,786081128,C,Kizza Besigye,Uganda,"40,141,000"
372,786226893,C,Apolo Kagwa,Uganda,"40,141,000"
373,787306486,Stub,Michael Kawalya Kagwa,Uganda,"40,141,000"
